Niveau,Spécialité,Section,Jours,Créneaux,Module,Type,Groupe,Salle,Bloc,Prof
M2,IV,A,Dimanche,08:00-09:30,SEM,TD,1,162,100,OURAHMOUN
M2,IV,A,Dimanche,08:00-09:30,THJ,TD,2,118,100,DAHMANI
M2,IV,A,Dimanche,09:40-11:10,VD,Cours,0,135D,100,LARABI
M2,IV,A,Dimanche,11:20-12:50,SEM,Cours,0,117D,100,OURAHMOUN
M2,IV,A,Dimanche,13:00-14:30,VD,TP,1,TP128,Fac Info,DELLOUL
M2,IV,A,Dimanche,13:00-14:30,SEM,TP,2,TP C4,Nouveau Bloc,OURAHMOUN
M2,IV,A,Dimanche,14:40-16:10,VD,TP,2,TP130,Fac Info,DELLOUL
M2,IV,A,Lundi,08:00-09:30,PR,Cours,0,salle de conference,Fac Info,EL NAGGER
M2,IV,A,Lundi,09:40-11:10,RCR,TD,1,TP C4,Nouveau Bloc,KHELLAF
M2,IV,A,Lundi,09:40-11:10,AC,TP,2,TP C5,Nouveau Bloc,LARABI
M2,IV,A,Lundi,11:20-12:50,AC,TP,1,TP C5,Nouveau Bloc,LARABI
M2,IV,A,Lundi,11:20-12:50,SIM,TP,2,TP128,Fac Info,DAHMANE
M2,IV,A,Lundi,13:00-14:30,SIM,TP,1,TP132,Fac Info,DAHMANE
M2,IV,A,Mardi,08:00-09:30,GP,Cours,0,103,100,HACHEMI
M2,IV,A,Mardi,09:40-11:10,SIM,Cours,0,103,100,DAHMANE
M2,IV,A,Mardi,11:20-12:50,SEM,TP,1,TP C5,Nouveau Bloc,OURAHMOUN
M2,IV,A,Mardi,11:20-12:50,GP,TP,2,TP127,Fac Info,BENSALAH
M2,IV,A,Mardi,13:00-14:30,PR,TP,1,TP C6,Nouveau Bloc,BOUACHI
M2,IV,A,Mardi,14:40-16:10,GP,TP,1,TP C7,Nouveau Bloc,BENSALAH
M2,IV,A,Mardi,14:40-16:10,PR,TP,2,TP C6,Nouveau Bloc,BOUACHI
M2,IV,A,Mercredi,08:00-09:30,THJ,TD,1,402,400,DAHMANI
M2,IV,A,Mercredi,08:00-09:30,SEM,TD,2,338,300,OURAHMOUN
M2,IV,A,Mercredi,09:40-11:10,RCR,Cours,0,R4,Nouveau Bloc,KHELLAF
M2,IV,A,Mercredi,11:20-12:50,THJ,Cours,0,D5,Nouveau Bloc,DAHMANI
M2,IV,A,Mercredi,13:00-14:30,THJ,TP,1,TP C5,Nouveau Bloc,SAHNOUNE
M2,IV,A,Mercredi,13:00-14:30,RCR,TD,2,TP C6,Nouveau Bloc,BELHADI
M2,IV,A,Mercredi,14:40-16:10,THJ,TP,2,C3A,Nouveau Bloc,SAHNOUNE
M1,IV,A,Dimanche,08:00-09:30,ANG,TD,1,,LABO LANG,BOUDEFASSA
M1,IV,A,Dimanche,08:00-09:30,ABD,TP,2,C3A,Nouveau Bloc,KESSI
M1,IV,A,Dimanche,09:40-11:10,TAI,TP,1,C3B,Nouveau Bloc,DELLOUL
M1,IV,A,Dimanche,09:40-11:10,ANG,TD,2,,LABO LANG,BOUDEFASSA
M1,IV,A,Dimanche,11:20-12:50,RP,Cours,0,D6,Nouveau Bloc,LARABI
M1,IV,A,Dimanche,13:00-14:30,TAI,Cours,0,D6,Nouveau Bloc,SETITRA
M1,IV,A,Dimanche,14:40-16:10,RP,TP,1,TP129,Fac Info,SEBAI
M1,IV,A,Dimanche,14:40-16:10,TAI,TD,2,D5,Nouveau Bloc,SETITRA
M1,IV,A,Lundi,08:00-09:30,SE,TP,1,TP C4,Nouveau Bloc,BENCHAIBA
M1,IV,A,Lundi,08:00-09:30,TAI,TP,2,TP C5,Nouveau Bloc,DELLOUL
M1,IV,A,Lundi,09:40-11:10,ABD,Cours,0,D6,Nouveau Bloc,DJIROUNE
M1,IV,A,Lundi,11:20-12:50,TAI,TD,1,405,400,SETITRA
M1,IV,A,Lundi,11:20-12:50,SE,TD,2,166,100,BENCHAIBA
M1,IV,A,Lundi,13:00-14:30,SE,TP,2,TP127,Fac Info,BENCHAIBA
M1,IV,A,Mardi,08:00-09:30,SE,Cours,0,E6,Nouveau Bloc,BENCHAIBA
M1,IV,A,Mardi,09:40-11:10,CM,Cours,0,E6,Nouveau Bloc,LARABI
M1,IV,A,Mardi,11:20-12:50,SE,TD,1,249,200,BENCHAIBA
M1,IV,A,Mardi,11:20-12:50,RP,TP,2,TP122,Fac Info,SEBAI
M1,IV,A,Mardi,13:00-14:30,ABD,TP,1,TP C5,Nouveau Bloc,KESSI
M1,IV,A,Mardi,13:00-14:30,ALGC,TP,2,TP C4,Nouveau Bloc,MESSAOUDI
M1,IV,A,Mardi,14:40-16:10,ALGC,TP,1,TP C4,Nouveau Bloc,MESSAOUDI
M1,IV,A,Mercredi,08:00-09:30,ALGC,Cours,0,R4,Nouveau Bloc,DRIAS
M1,IV,A,Mercredi,09:40-11:10,ALGC,TD,1,406,400,MESSAOUDI
M1,IV,A,Mercredi,09:40-11:10,CM,TP,2,TP C5,Nouveau Bloc,SEBAI
M1,IV,A,Mercredi,11:20-12:50,CM,TP,1,TP C5,Nouveau Bloc,SEBAI
M1,IV,A,Mercredi,11:20-12:50,ALGC,TD,2,387,300,MESSAOUDI
M1,SII,A,Dimanche,08:00-09:30,MEPS,TD,3,304,300,AMROUS
M1,SII,A,Dimanche,09:40-11:10,MEPS,Cours,0,E1,Nouveau Bloc,AMROUS
M1,SII,A,Dimanche,11:20-12:50,RP,Cours,0,E8,Nouveau Bloc,AZZOUNE
M1,SII,A,Dimanche,13:00-14:30,RP,TD,2,314,300,AZZOUNE
M1,SII,A,Dimanche,14:40-16:10,MEPS,TD,1,358,300,AMROUS
M1,SII,A,Dimanche,14:40-16:10,RP,TD,3,170,100,AZZOUNE
M1,SII,A,Lundi,08:00-09:30,Compil,TP,1,TP131,Fac Info,null
M1,SII,A,Lundi,08:00-09:30,ABD,TP,2,TP129,Fac Info,GUESSOUM
M1,SII,A,Lundi,08:00-09:30,SE,TP,3,TP128,Fac Info,LARBI
M1,SII,A,Lundi,08:00-09:30,ALGC,TP,4,TP127,Fac Info,MOULAI
